"Job_Title","Company_Name","City_State","Company_Rating","salary_Range","Post_Date","sal_hourly","min_salary","max_salary","avg_salary","job_state","pd_hourly","job_simp","seniority"
"RESEARCH SCIENTIST, FORECASTING","University of Washington","Seattle, WA",4.2,"$30K-$75K (Glassdoor Est.)","3d",0,30,75,52.5,"WA",72,"na","na"
"Data Engineer","Microsoft","Issaquah, WA",4.3,"$97K-$168K (Glassdoor Est.)","24h",0,97,168,132.5,"WA",24,"data engineer","na"
"Director of Data Science Acceleration, GRS Advanced Analytics Hub","Liberty Mutual Insurance","Seattle, WA",3.5,"$164K-$264K (Glassdoor Est.)","3d",0,164,264,214,"WA",72,"director","na"
"Data Engineer","doxo","Seattle, WA",4.7,"$94K-$112K (Glassdoor Est.)","25d",0,94,112,103,"WA",600,"data engineer","na"
"Data Analyst-Transcription @Redmond","Pactera Technologies","Issaquah, WA",4.5,"$42K-$76K (Glassdoor Est.)","13d",0,42,76,59,"WA",312,"analyst","na"
"Principal Scientist Data Management and Solutions","Seattle Genetics","Bothell, WA",4.1,"$90K-$179K (Glassdoor Est.)","4d",0,90,179,134.5,"WA",96,"na","senior"
"Language Data Researcher","Amazon","Seattle, WA",3.9,"$36K-$73K (Glassdoor Est.)","17d",0,36,73,54.5,"WA",408,"na","na"
"Senior Scientist- Digital Health","Sage Bionetworks","Seattle, WA",4.8,"$78K-$162K (Glassdoor Est.)","6d",0,78,162,120,"WA",144,"na","senior"
"Scientist I - Electron Microscopist","Allen Institute","Seattle, WA",3.8,"$56K-$116K (Glassdoor Est.)","27d",0,56,116,86,"WA",648,"na","na"
"RESEARCH SCIENTIST 2","University of Washington","Seattle, WA",4.2,"$28K-$70K (Glassdoor Est.)","4d",0,28,70,49,"WA",96,"na","na"
"RESEARCH SCIENTIST 4","University of Washington","Seattle, WA",4.2,"$39K-$98K (Glassdoor Est.)","6d",0,39,98,68.5,"WA",144,"na","na"
"RESEARCH SCIENTIST ENGINEER","University of Washington","Seattle, WA",4.2,"$29K-$72K (Glassdoor Est.)","12d",0,29,72,50.5,"WA",288,"na","na"
